"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes","change"
"LINC02577",310.060467300988,4.02158762903841,0.507923560728193,7.91770246545127,2.41939465081581e-15,2.0716176060489e-13,"LINC02577","Up"
"CD177",1030.757560624,4.00514088400404,0.712380841583632,5.62219061801348,1.88551044451062e-08,3.73846234801221e-07,"CD177","Up"
"LINC01614",71.6311477455001,3.98365390620947,0.625054980165255,6.37328560306207,1.85020864933539e-10,5.98333071590779e-09,"LINC01614","Up"
"CXCL6",1007.71680613258,3.95457064881592,0.520728396503247,7.59430573667833,3.09446996706704e-14,2.12651038418675e-12,"CXCL6","Up"
"AC022031.2",132.562439442332,3.95046190488687,0.721850576540102,5.4726864994994,4.43263869463767e-08,8.13936550588224e-07,"AC022031.2","Up"
"ADAM12",2757.70503055888,3.94328625182412,0.452555672359787,8.71337272442618,2.94964816809128e-18,5.09643019671543e-16,"ADAM12","Up"
"GAST",89.243069747386,3.90779128211114,0.772987289648209,5.05544054144746,4.2939839678854e-07,6.09557567647707e-06,"GAST","Up"
"IGFL1",456.015533290798,3.90204510310004,0.8335418173186,4.68128295668768,2.85085122850235e-06,3.15751788690413e-05,"IGFL1","Up"
"NMRAL2P",2114.36801290389,3.89056145122597,0.732739933866526,5.30960750384687,1.09861567098523e-07,1.82049091804012e-06,"NMRAL2P","Up"
"FDCSP",876.895033356128,3.88440196856311,0.85508711755278,4.54269733320283,5.55389654730346e-06,5.61956448193973e-05,"FDCSP","Up"
"PPIAP45",18.3068834198053,3.88274611119013,0.574236994068475,6.7615743173926,1.36500266944066e-11,5.61539193401191e-10,"PPIAP45","Up"
"AC093895.1",100.150515602539,3.84568117401391,0.641213847008124,5.99750175695314,2.00376198887481e-09,5.15634751803784e-08,"AC093895.1","Up"
"KLHDC7B-DT",62.278005390509,3.82386246210832,0.539020510892828,7.09409453783959,1.30201107385756e-12,6.78766807526545e-11,"KLHDC7B-DT","Up"
"APOBEC3A",1006.07300686238,3.81996156754233,0.644361150065489,5.92829280156648,3.06100331322474e-09,7.49429448158208e-08,"APOBEC3A","Up"
"IGHG4",20967.0099593305,3.80282978428291,0.636210008089975,5.97731839475417,2.2684058024676e-09,5.77997444780437e-08,"IGHG4","Up"
"ULBP1",217.729753769765,3.79565411173141,0.444991700716004,8.52971888155239,1.46703775216774e-17,2.23655452939724e-15,"ULBP1","Up"
"HOXD10",689.85996822681,3.78878134903657,0.660274449521024,5.73819167436363,9.56927808619837e-09,2.06182711448707e-07,"HOXD10","Up"
"LINC02820",39.7688987125228,3.75624998907146,0.736640675670945,5.09916179370654,3.41160851173186e-07,5.00350861922711e-06,"LINC02820","Up"
"TDO2",404.879423971091,3.75586326751174,0.409474885188669,9.17238981770808,4.62646579609376e-20,1.19904774961047e-17,"TDO2","Up"
"OLR1",641.279898586125,3.74342733652328,0.509396305479566,7.34875242763896,2.00065350672167e-13,1.21390822471386e-11,"OLR1","Up"
"NTS",3196.01637099466,3.73443974779444,0.946235277589396,3.94662916955305,7.9259170318183e-05,0.000547153678809922,"NTS","Up"
"AC005336.1",784.074995223696,3.72916743246023,0.777901720633213,4.79387991252248,1.6358622009463e-06,1.96022536655005e-05,"AC005336.1","Up"
"HMGA2",2656.06100955451,3.70685482422627,0.568681869874488,6.51832776916979,7.10955066876736e-11,2.57448040384785e-09,"HMGA2","Up"
"PYY2",218.517036169759,3.69772841728004,0.64157414567624,5.76352467162234,8.23752049230809e-09,1.80926267277789e-07,"PYY2","Up"
